Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Sun Mar 15 14:04:48 GMT 2015,26000,10.972571,119693312,8589934592,8470241280
Sun Mar 15 14:04:50 GMT 2015,26000,12.686568,118292480,8589934592,8471642112
Sun Mar 15 14:04:52 GMT 2015,26000,11.457038,117731328,8589934592,8472203264
Sun Mar 15 14:04:54 GMT 2015,26000,4.483187,117166080,8589934592,8472768512
Sun Mar 15 14:04:56 GMT 2015,26000,5.479455,117596160,8589934592,8472338432
Sun Mar 15 14:04:58 GMT 2015,26000,4.4776144,117039104,8589934592,8472895488
Sun Mar 15 14:05:00 GMT 2015,26000,4.956627,117624832,8589934592,8472309760
Sun Mar 15 14:05:02 GMT 2015,26000,4.472047,116998144,8589934592,8472936448
Sun Mar 15 14:05:04 GMT 2015,26000,4.850745,117444608,8589934592,8472489984
Sun Mar 15 14:05:06 GMT 2015,26000,5.3349853,116699136,8589934592,8473235456
Sun Mar 15 14:05:08 GMT 2015,26000,4.218364,117051392,8589934592,8472883200
Sun Mar 15 14:05:10 GMT 2015,26000,4.9813213,117960704,8589934592,8471973888
Sun Mar 15 14:05:12 GMT 2015,26000,4.0942907,117166080,8589934592,8472768512
Sun Mar 15 14:05:14 GMT 2015,26000,5.860347,120164352,8589934592,8469770240
Sun Mar 15 14:05:16 GMT 2015,26000,5.217391,120520704,8589934592,8469413888
Sun Mar 15 14:05:18 GMT 2015,26000,7.18711,118878208,8589934592,8471056384
Sun Mar 15 14:05:20 GMT 2015,26000,7.970113,118263808,8589934592,8471670784
Sun Mar 15 14:05:22 GMT 2015,26000,15.756822,115359744,8589934592,8474574848
Sun Mar 15 14:05:24 GMT 2015,26000,6.079406,115830784,8589934592,8474103808
Sun Mar 15 14:05:26 GMT 2015,26000,4.5962753,115273728,8589934592,8474660864
Sun Mar 15 14:05:28 GMT 2015,26000,3.6024868,114601984,8589934592,8475332608
Sun Mar 15 14:05:30 GMT 2015,26000,7.835823,116158464,8589934592,8473776128
Sun Mar 15 14:05:32 GMT 2015,26000,12.1890545,116121600,8589934592,8473812992
Sun Mar 15 14:05:35 GMT 2015,26000,12.747526,115785728,8589934592,8474148864
Sun Mar 15 14:05:37 GMT 2015,26000,16.562891,116596736,8589934592,8473337856
Sun Mar 15 14:05:39 GMT 2015,26000,15.880895,355725312,8589934592,8234209280
Sun Mar 15 14:05:41 GMT 2015,26000,12.079704,254828544,8589934592,8335106048
Sun Mar 15 14:05:43 GMT 2015,26000,12.763321,254578688,8589934592,8335355904
Sun Mar 15 14:05:45 GMT 2015,26000,10.696518,255152128,8589934592,8334782464
Sun Mar 15 14:05:47 GMT 2015,26000,12.887239,253550592,8589934592,8336384000
Sun Mar 15 14:05:49 GMT 2015,26000,12.079704,252354560,8589934592,8337580032
Sun Mar 15 14:05:51 GMT 2015,26000,22.772276,253018112,8589934592,8336916480
Sun Mar 15 14:05:53 GMT 2015,26000,15.875,251916288,8589934592,8338018304
Sun Mar 15 14:05:55 GMT 2015,26000,12.919253,250785792,8589934592,8339148800
Sun Mar 15 14:05:57 GMT 2015,26000,13.325029,251375616,8589934592,8338558976
Sun Mar 15 14:05:59 GMT 2015,26000,14.764267,250900480,8589934592,8339034112
Sun Mar 15 14:06:01 GMT 2015,26000,15.756822,250945536,8589934592,8338989056
Sun Mar 15 14:06:03 GMT 2015,26000,15.508688,248418304,8589934592,8341516288
Sun Mar 15 14:06:05 GMT 2015,26000,14.713216,251387904,8589934592,8338546688
Sun Mar 15 14:06:07 GMT 2015,26000,22.029703,251072512,8589934592,8338862080
Sun Mar 15 14:06:09 GMT 2015,26000,15.355807,250642432,8589934592,8339292160
Sun Mar 15 14:06:11 GMT 2015,26000,10.656756,250097664,8589934592,8339836928
Sun Mar 15 14:06:13 GMT 2015,26000,9.950251,231727104,8589934592,8358207488
Sun Mar 15 14:06:15 GMT 2015,26000,10.087174,233177088,8589934592,8356757504
Sun Mar 15 14:06:17 GMT 2015,26000,15.155279,233537536,8589934592,8356397056
Sun Mar 15 14:06:19 GMT 2015,26000,10.794044,234172416,8589934592,8355762176
Sun Mar 15 14:06:21 GMT 2015,26000,5.472636,233119744,8589934592,8356814848
Sun Mar 15 14:06:23 GMT 2015,26000,5.4658413,233459712,8589934592,8356474880
Sun Mar 15 14:06:25 GMT 2015,26000,7.8455806,233996288,8589934592,8355938304
Sun Mar 15 14:06:27 GMT 2015,26000,11.801243,234704896,8589934592,8355229696
Sun Mar 15 14:06:29 GMT 2015,26000,11.042184,220598272,8589934592,8369336320
Sun Mar 15 14:06:31 GMT 2015,26000,16.894413,221347840,8589934592,8368586752
Sun Mar 15 14:06:33 GMT 2015,26000,12.670809,212979712,8589934592,8376954880
Sun Mar 15 14:06:35 GMT 2015,26000,9.553349,217927680,8589934592,8372006912
Sun Mar 15 14:06:37 GMT 2015,26000,16.18929,218021888,8589934592,8371912704
